遊	ユウ;ユ;あそぶ;あそばす	play	general
予	ヨ;シャ;あらかじめ	beforehand; previous; myself; I	general
有	ユウ;ウ;ある	possess; have; exist; happen; occur; approx	general
由	ユ;ユウ;ユイ;よし;よる	wherefore; a reason	general
油	ユ;ユウ;あぶら	oil; fat	general
薬	ヤク;くすり	medicine; chemical; enamel; gunpowder; benefit	general
問	モン;とう;とい;とん	question; ask; problem	general
役	ヤク;エキ	duty; war; campaign; drafted labor; office; service; role	general
命	メイ;ミョウ;いのち	fate; command; decree; destiny; life; appoint	general
面	メン;ベン;おも;おもて;つら	mask; face; features; surface	general
味	ミ;あじ;あじわう	flavor; taste	general
放	ホウ;はなす;-っぱなし;はなつ;はなれる;こく;ほうる	set free; release; fire; shoot; emit; banish; liberate	general
勉	ベン;つとめる	exertion	general
返	ヘン;かえす;-かえす;かえる;-かえる	return; answer; fade; repay	general
平	ヘイ;ビョウ;ヒョウ;たいら;-だいら;ひら;ひら-	even; flat; peace	general
部	ブ;-べ	section; bureau; dept; class; copy; part; portion; counter for copies of a newspaper or magazine	general
服	フク	clothing; admit; obey; discharge	general
福	フク	blessing; fortune; luck; wealth	general
物	ブツ;モツ;もの;もの-	thing; object; matter	general
負	フ;まける;まかす;おう	defeat; negative; -; minus; bear; owe; assume a responsibility	general
箱	ソウ;はこ	box; chest; case; bin; railway car	general
畑	はた;はたけ;-ばたけ	farm; field; garden; one's specialty; (kokuji)	general
発	ハツ;ホツ;たつ;あばく;おこる;つかわす;はなつ	discharge; departure; publish; emit; start from; disclose; counter for gunshots	general
反	ハン;ホン;タン;ホ;そる;そらす;かえす;かえる;-かえる	anti-	general
板	ハン;バン;いた	plank; board; plate; stage	general
悲	ヒ;かなしい;かなしむ	jail cell; grieve; sad; deplore; regret	general
皮	ヒ;かわ	pelt; skin; hide; leather; skin radical (no. 107)	general
美	ビ;ミ;うつくしい	beauty; beautiful	general
鼻	ビ;はな	nose; snout	general
筆	ヒツ;ふで	writing brush; writing; painting brush; handwriting	general
氷	ヒョウ;こおり;ひ;こおる	icicle; ice; hail; freeze; congeal	general
表	ヒョウ;おもて;-おもて;あらわす;あらわれる;あらわす	surface; table; chart; diagram	general
病	ビョウ;ヘイ;やむ;-やみ;やまい	ill; sick	general
秒	ビョウ	second (1/60 minute)	general
品	ヒン;ホン;しな	goods; refinement; dignity; article; counter for meal courses	general
農	ノウ	agriculture; farmers	general
波	ハ;なみ	waves; billows; Poland	general
配	ハイ;くばる	distribute; spouse; exile; rationing	general
倍	バイ	double; twice; times; fold	general
動	ドウ;うごく;うごかす	move; motion; change; confusion; shift; shake	general
童	ドウ;わらべ	juvenile; child	general
豆	トウ;ズ;まめ;まめ-	beans; pea; midget	general
島	トウ;しま	island	general
投	トウ;なげる;-なげ	throw; discard; abandon; launch into; join; invest in; hurl; give up; sell at a loss	general
湯	トウ;ゆ	hot water; bath; hot spring	general
等	トウ;ひとしい;など;-ら	etc.; and so forth; class (first); quality; equal; similar	general
登	トウ;ト;ドウ;ショウ;チョウ;のぼる;あがる	ascend; climb up	general
都	ト;ツ;みやこ	metropolis; capital	general
度	ド;ト;タク;たび;-たい	degrees; occurrence; time; counter for occurrences	general
帳	チョウ;とばり	notebook; account book; album	general
調	チョウ;しらべる;しらべ;ととのう;ととのえる	tune; tone; meter; key (music); writing style; prepare; exorcise; investigate	general
追	ツイ;おう	chase; drive away; follow; pursue; meanwhile	general
定	テイ;ジョウ;さだめる;さだまる;さだか	determine; fix; establish; decide	general
庭	テイ;にわ	courtyard; garden; yard	general
笛	テキ;ふえ	flute; clarinet; pipe; whistle; bagpipe; piccolo	general
鉄	テツ;くろがね	iron	general
転	テン;ころがる;ころげる;ころがす;ころぶ;まろぶ;うたた;うつる;くるめく	revolve; turn around; change	general
丁	チョウ;テイ;チン;トウ;チ;ひのと	street; ward; town; counter for guns, tools, leaves or cakes of something; even number; 4th calendar sign	general
注	チュウ;そそぐ;さす;つぐ	pour; irrigate; shed (tears); flow into; concentrate on; notes; comment; annotate	general
柱	チュウ;はしら	pillar; post; cylinder; support	general
談	ダン	discuss; talk	general
着	チャク;ジャク;きる;-ぎ;きせる;-きせ;つく;つける	don; arrive; wear; counter for suits of clothing	general
炭	タン;すみ	charcoal; coal	general
短	タン;みじかい	short; brevity; fault; defect; weak point	general
代	ダイ;タイ;かわる;かわる;かわり;-がわり;かえる;よ;しろ	substitute; change; convert; replace; period; age; counter for decades of ages, eras, etc.; generation; charge; rate; fee	general
第	ダイ;テイ	No.; residence	general
題	ダイ	topic; subject	general
待	タイ;まつ;-まち	wait; depend on	general
